metric_id,pilar,nama_metrik,satuan,target_kepatuhan_persen
METRIC-0612,Governance,Independensi Dewan Komisaris (Sub-612),Skor Indeks / Persentase / Sertifikasi,75.82
METRIC-0613,Environmental,Konsumsi Air Bersih (Sub-613),Ton CO2e / M3 / MWh,77.1
METRIC-0614,Environmental,Pengelolaan Limbah B3 (Sub-614),Ton CO2e / M3 / MWh,96.3
METRIC-0615,Environmental,Emisi GRK Scope 1 (Sub-615),Ton CO2e / M3 / MWh,94.59
METRIC-0616,Governance,Transparansi Pajak (Sub-616),Skor Indeks / Persentase / Sertifikasi,88.53
METRIC-0617,Social,Pelatihan Karyawan (Jam) (Sub-617),Persentase / Jam / Tingkat Kasus,99.84
METRIC-0618,Environmental,Konsumsi Air Bersih (Sub-618),Ton CO2e / M3 / MWh,92.06
METRIC-0619,Social,Turnover Karyawan (Sub-619),Persentase / Jam / Tingkat Kasus,76.48
METRIC-0620,Governance,Transparansi Pajak (Sub-620),Skor Indeks / Persentase / Sertifikasi,95.4
METRIC-0621,Environmental,Konsumsi Air Bersih (Sub-621),Ton CO2e / M3 / MWh,82.44
METRIC-0622,Governance,Transparansi Pajak (Sub-622),Skor Indeks / Persentase / Sertifikasi,71.08
METRIC-0623,Social,Rasio Kesetaraan Gender (Sub-623),Persentase / Jam / Tingkat Kasus,79.64
METRIC-0624,Environmental,Pengelolaan Limbah B3 (Sub-624),Ton CO2e / M3 / MWh,92.91
METRIC-0625,Environmental,Konsumsi Air Bersih (Sub-625),Ton CO2e / M3 / MWh,98.81
METRIC-0626,Environmental,Konsumsi Air Bersih (Sub-626),Ton CO2e / M3 / MWh,78.28
METRIC-0627,Environmental,Intensitas Karbon (Sub-627),Ton CO2e / M3 / MWh,77.4
METRIC-0628,Social,Turnover Karyawan (Sub-628),Persentase / Jam / Tingkat Kasus,86.91
METRIC-0629,Environmental,Efisiensi Energi (Sub-629),Ton CO2e / M3 / MWh,94.35
METRIC-0630,Governance,Sertifikasi Anti-Korupsi (Sub-630),Skor Indeks / Persentase / Sertifikasi,92.4
METRIC-0631,Environmental,Intensitas Karbon (Sub-631),Ton CO2e / M3 / MWh,86.8
METRIC-0632,Social,Hubungan Komunitas Lokal (Sub-632),Persentase / Jam / Tingkat Kasus,88.94
METRIC-0633,Environmental,Efisiensi Energi (Sub-633),Ton CO2e / M3 / MWh,77.26
METRIC-0634,Social,Hubungan Komunitas Lokal (Sub-634),Persentase / Jam / Tingkat Kasus,82.98
METRIC-0635,Social,Turnover Karyawan (Sub-635),Persentase / Jam / Tingkat Kasus,77.66
METRIC-0636,Governance,Sertifikasi Anti-Korupsi (Sub-636),Skor Indeks / Persentase / Sertifikasi,96.53
METRIC-0637,Environmental,Konsumsi Air Bersih (Sub-637),Ton CO2e / M3 / MWh,73.38
METRIC-0638,Environmental,Intensitas Karbon (Sub-638),Ton CO2e / M3 / MWh,90.39
METRIC-0639,Environmental,Efisiensi Energi (Sub-639),Ton CO2e / M3 / MWh,77.81
METRIC-0640,Governance,Rasio Gaji Eksekutif (Sub-640),Skor Indeks / Persentase / Sertifikasi,84.27
METRIC-0641,Governance,Rasio Gaji Eksekutif (Sub-641),Skor Indeks / Persentase / Sertifikasi,78.98
METRIC-0642,Social,Pelatihan Karyawan (Jam) (Sub-642),Persentase / Jam / Tingkat Kasus,79.7
METRIC-0643,Social,Hubungan Komunitas Lokal (Sub-643),Persentase / Jam / Tingkat Kasus,77.81
METRIC-0644,Social,Pelatihan Karyawan (Jam) (Sub-644),Persentase / Jam / Tingkat Kasus,92.58
METRIC-0645,Governance,Sertifikasi Anti-Korupsi (Sub-645),Skor Indeks / Persentase / Sertifikasi,80.97
METRIC-0646,Governance,Rasio Gaji Eksekutif (Sub-646),Skor Indeks / Persentase / Sertifikasi,91.79
METRIC-0647,Governance,Independensi Dewan Komisaris (Sub-647),Skor Indeks / Persentase / Sertifikasi,83.68
METRIC-0648,Social,Tingkat Kecelakaan Kerja (Sub-648),Persentase / Jam / Tingkat Kasus,86.42
METRIC-0649,Governance,Audit Keamanan Siber (Sub-649),Skor Indeks / Persentase / Sertifikasi,86.3
METRIC-0650,Social,Tingkat Kecelakaan Kerja (Sub-650),Persentase / Jam / Tingkat Kasus,99.28
METRIC-0651,Social,Turnover Karyawan (Sub-651),Persentase / Jam / Tingkat Kasus,81.01
METRIC-0652,Environmental,Intensitas Karbon (Sub-652),Ton CO2e / M3 / MWh,76.23
METRIC-0653,Environmental,Konsumsi Air Bersih (Sub-653),Ton CO2e / M3 / MWh,97.35
METRIC-0654,Environmental,Efisiensi Energi (Sub-654),Ton CO2e / M3 / MWh,75.25
METRIC-0655,Social,Hubungan Komunitas Lokal (Sub-655),Persentase / Jam / Tingkat Kasus,95.03
METRIC-0656,Environmental,Emisi GRK Scope 1 (Sub-656),Ton CO2e / M3 / MWh,74.51
METRIC-0657,Environmental,Emisi GRK Scope 1 (Sub-657),Ton CO2e / M3 / MWh,89.76
METRIC-0658,Environmental,Emisi GRK Scope 1 (Sub-658),Ton CO2e / M3 / MWh,74.52
METRIC-0659,Governance,Transparansi Pajak (Sub-659),Skor Indeks / Persentase / Sertifikasi,97.69
METRIC-0660,Social,Tingkat Kecelakaan Kerja (Sub-660),Persentase / Jam / Tingkat Kasus,86.95
METRIC-0661,Environmental,Efisiensi Energi (Sub-661),Ton CO2e / M3 / MWh,79.88
METRIC-0662,Governance,Independensi Dewan Komisaris (Sub-662),Skor Indeks / Persentase / Sertifikasi,74.21
METRIC-0663,Governance,Sertifikasi Anti-Korupsi (Sub-663),Skor Indeks / Persentase / Sertifikasi,81.14
METRIC-0664,Governance,Independensi Dewan Komisaris (Sub-664),Skor Indeks / Persentase / Sertifikasi,91.15
METRIC-0665,Environmental,Konsumsi Air Bersih (Sub-665),Ton CO2e / M3 / MWh,81.55
METRIC-0666,Governance,Rasio Gaji Eksekutif (Sub-666),Skor Indeks / Persentase / Sertifikasi,77.38
METRIC-0667,Social,Hubungan Komunitas Lokal (Sub-667),Persentase / Jam / Tingkat Kasus,87.32
METRIC-0668,Governance,Rasio Gaji Eksekutif (Sub-668),Skor Indeks / Persentase / Sertifikasi,82.53
METRIC-0669,Governance,Rasio Gaji Eksekutif (Sub-669),Skor Indeks / Persentase / Sertifikasi,74.97
METRIC-0670,Governance,Audit Keamanan Siber (Sub-670),Skor Indeks / Persentase / Sertifikasi,74.62
METRIC-0671,Governance,Independensi Dewan Komisaris (Sub-671),Skor Indeks / Persentase / Sertifikasi,91.22
METRIC-0672,Social,Hubungan Komunitas Lokal (Sub-672),Persentase / Jam / Tingkat Kasus,99.24
METRIC-0673,Environmental,Intensitas Karbon (Sub-673),Ton CO2e / M3 / MWh,76.99
METRIC-0674,Social,Turnover Karyawan (Sub-674),Persentase / Jam / Tingkat Kasus,93.19
METRIC-0675,Social,Turnover Karyawan (Sub-675),Persentase / Jam / Tingkat Kasus,72.63
METRIC-0676,Environmental,Efisiensi Energi (Sub-676),Ton CO2e / M3 / MWh,81.45
METRIC-0677,Governance,Sertifikasi Anti-Korupsi (Sub-677),Skor Indeks / Persentase / Sertifikasi,85.2
METRIC-0678,Environmental,Intensitas Karbon (Sub-678),Ton CO2e / M3 / MWh,78.06
METRIC-0679,Environmental,Pengelolaan Limbah B3 (Sub-679),Ton CO2e / M3 / MWh,85.89
METRIC-0680,Social,Rasio Kesetaraan Gender (Sub-680),Persentase / Jam / Tingkat Kasus,96.48
METRIC-0681,Environmental,Konsumsi Air Bersih (Sub-681),Ton CO2e / M3 / MWh,98.33
METRIC-0682,Governance,Sertifikasi Anti-Korupsi (Sub-682),Skor Indeks / Persentase / Sertifikasi,73.02
METRIC-0683,Social,Hubungan Komunitas Lokal (Sub-683),Persentase / Jam / Tingkat Kasus,78.16
METRIC-0684,Governance,Rasio Gaji Eksekutif (Sub-684),Skor Indeks / Persentase / Sertifikasi,99.37
METRIC-0685,Social,Tingkat Kecelakaan Kerja (Sub-685),Persentase / Jam / Tingkat Kasus,78.11
METRIC-0686,Governance,Transparansi Pajak (Sub-686),Skor Indeks / Persentase / Sertifikasi,90.78
METRIC-0687,Environmental,Pengelolaan Limbah B3 (Sub-687),Ton CO2e / M3 / MWh,77.6
METRIC-0688,Environmental,Konsumsi Air Bersih (Sub-688),Ton CO2e / M3 / MWh,80.69
METRIC-0689,Environmental,Pengelolaan Limbah B3 (Sub-689),Ton CO2e / M3 / MWh,75.74
METRIC-0690,Governance,Transparansi Pajak (Sub-690),Skor Indeks / Persentase / Sertifikasi,95.69
METRIC-0691,Social,Tingkat Kecelakaan Kerja (Sub-691),Persentase / Jam / Tingkat Kasus,96.48
METRIC-0692,Social,Hubungan Komunitas Lokal (Sub-692),Persentase / Jam / Tingkat Kasus,78.91
METRIC-0693,Social,Turnover Karyawan (Sub-693),Persentase / Jam / Tingkat Kasus,94.71
METRIC-0694,Environmental,Pengelolaan Limbah B3 (Sub-694),Ton CO2e / M3 / MWh,80.75
METRIC-0695,Governance,Independensi Dewan Komisaris (Sub-695),Skor Indeks / Persentase / Sertifikasi,72.97
METRIC-0696,Social,Tingkat Kecelakaan Kerja (Sub-696),Persentase / Jam / Tingkat Kasus,92.74
METRIC-0697,Governance,Sertifikasi Anti-Korupsi (Sub-697),Skor Indeks / Persentase / Sertifikasi,87.89
METRIC-0698,Social,Tingkat Kecelakaan Kerja (Sub-698),Persentase / Jam / Tingkat Kasus,78.23
METRIC-0699,Environmental,Emisi GRK Scope 1 (Sub-699),Ton CO2e / M3 / MWh,77.59
METRIC-0700,Governance,Sertifikasi Anti-Korupsi (Sub-700),Skor Indeks / Persentase / Sertifikasi,99.27
METRIC-0701,Social,Pelatihan Karyawan (Jam) (Sub-701),Persentase / Jam / Tingkat Kasus,95.88
METRIC-0702,Social,Hubungan Komunitas Lokal (Sub-702),Persentase / Jam / Tingkat Kasus,94.29
METRIC-0703,Social,Turnover Karyawan (Sub-703),Persentase / Jam / Tingkat Kasus,73.84
METRIC-0704,Social,Hubungan Komunitas Lokal (Sub-704),Persentase / Jam / Tingkat Kasus,92.66
METRIC-0705,Environmental,Efisiensi Energi (Sub-705),Ton CO2e / M3 / MWh,76.44
METRIC-0706,Social,Pelatihan Karyawan (Jam) (Sub-706),Persentase / Jam / Tingkat Kasus,99.32
METRIC-0707,Social,Turnover Karyawan (Sub-707),Persentase / Jam / Tingkat Kasus,71.56
METRIC-0708,Environmental,Konsumsi Air Bersih (Sub-708),Ton CO2e / M3 / MWh,80.56
METRIC-0709,Social,Turnover Karyawan (Sub-709),Persentase / Jam / Tingkat Kasus,82.86
METRIC-0710,Governance,Rasio Gaji Eksekutif (Sub-710),Skor Indeks / Persentase / Sertifikasi,94.73
METRIC-0711,Governance,Transparansi Pajak (Sub-711),Skor Indeks / Persentase / Sertifikasi,92.99
METRIC-0712,Social,Hubungan Komunitas Lokal (Sub-712),Persentase / Jam / Tingkat Kasus,81.25
METRIC-0713,Environmental,Intensitas Karbon (Sub-713),Ton CO2e / M3 / MWh,86.97
METRIC-0714,Environmental,Konsumsi Air Bersih (Sub-714),Ton CO2e / M3 / MWh,95.07
METRIC-0715,Environmental,Intensitas Karbon (Sub-715),Ton CO2e / M3 / MWh,70.55
METRIC-0716,Social,Rasio Kesetaraan Gender (Sub-716),Persentase / Jam / Tingkat Kasus,94.07
METRIC-0717,Social,Pelatihan Karyawan (Jam) (Sub-717),Persentase / Jam / Tingkat Kasus,98.41
METRIC-0718,Governance,Transparansi Pajak (Sub-718),Skor Indeks / Persentase / Sertifikasi,70.96
METRIC-0719,Environmental,Efisiensi Energi (Sub-719),Ton CO2e / M3 / MWh,71.37
METRIC-0720,Social,Rasio Kesetaraan Gender (Sub-720),Persentase / Jam / Tingkat Kasus,80.34
METRIC-0721,Social,Tingkat Kecelakaan Kerja (Sub-721),Persentase / Jam / Tingkat Kasus,72.63
METRIC-0722,Social,Pelatihan Karyawan (Jam) (Sub-722),Persentase / Jam / Tingkat Kasus,84.38
METRIC-0723,Environmental,Efisiensi Energi (Sub-723),Ton CO2e / M3 / MWh,91.86
METRIC-0724,Environmental,Konsumsi Air Bersih (Sub-724),Ton CO2e / M3 / MWh,87.01
METRIC-0725,Governance,Sertifikasi Anti-Korupsi (Sub-725),Skor Indeks / Persentase / Sertifikasi,75.89
METRIC-0726,Environmental,Efisiensi Energi (Sub-726),Ton CO2e / M3 / MWh,89.64
METRIC-0727,Social,Tingkat Kecelakaan Kerja (Sub-727),Persentase / Jam / Tingkat Kasus,90.55
METRIC-0728,Governance,Sertifikasi Anti-Korupsi (Sub-728),Skor Indeks / Persentase / Sertifikasi,97.97
METRIC-0729,Environmental,Efisiensi Energi (Sub-729),Ton CO2e / M3 / MWh,74.4
METRIC-0730,Environmental,Pengelolaan Limbah B3 (Sub-730),Ton CO2e / M3 / MWh,90.77
METRIC-0731,Environmental,Pengelolaan Limbah B3 (Sub-731),Ton CO2e / M3 / MWh,97.34
METRIC-0732,Environmental,Emisi GRK Scope 1 (Sub-732),Ton CO2e / M3 / MWh,85.05
METRIC-0733,Social,Hubungan Komunitas Lokal (Sub-733),Persentase / Jam / Tingkat Kasus,80.85
METRIC-0734,Environmental,Pengelolaan Limbah B3 (Sub-734),Ton CO2e / M3 / MWh,75.12
METRIC-0735,Social,Rasio Kesetaraan Gender (Sub-735),Persentase / Jam / Tingkat Kasus,96.0
METRIC-0736,Social,Pelatihan Karyawan (Jam) (Sub-736),Persentase / Jam / Tingkat Kasus,81.83
METRIC-0737,Social,Pelatihan Karyawan (Jam) (Sub-737),Persentase / Jam / Tingkat Kasus,97.75
METRIC-0738,Governance,Rasio Gaji Eksekutif (Sub-738),Skor Indeks / Persentase / Sertifikasi,95.43
METRIC-0739,Social,Rasio Kesetaraan Gender (Sub-739),Persentase / Jam / Tingkat Kasus,81.3
METRIC-0740,Environmental,Efisiensi Energi (Sub-740),Ton CO2e / M3 / MWh,87.22
METRIC-0741,Governance,Audit Keamanan Siber (Sub-741),Skor Indeks / Persentase / Sertifikasi,70.82
METRIC-0742,Environmental,Konsumsi Air Bersih (Sub-742),Ton CO2e / M3 / MWh,77.9
METRIC-0743,Social,Tingkat Kecelakaan Kerja (Sub-743),Persentase / Jam / Tingkat Kasus,91.31
METRIC-0744,Environmental,Konsumsi Air Bersih (Sub-744),Ton CO2e / M3 / MWh,90.34
METRIC-0745,Governance,Rasio Gaji Eksekutif (Sub-745),Skor Indeks / Persentase / Sertifikasi,80.6
METRIC-0746,Governance,Transparansi Pajak (Sub-746),Skor Indeks / Persentase / Sertifikasi,94.26
METRIC-0747,Environmental,Konsumsi Air Bersih (Sub-747),Ton CO2e / M3 / MWh,77.08
METRIC-0748,Environmental,Intensitas Karbon (Sub-748),Ton CO2e / M3 / MWh,83.84
METRIC-0749,Environmental,Efisiensi Energi (Sub-749),Ton CO2e / M3 / MWh,84.18
METRIC-0750,Governance,Audit Keamanan Siber (Sub-750),Skor Indeks / Persentase / Sertifikasi,80.22
METRIC-0751,Social,Hubungan Komunitas Lokal (Sub-751),Persentase / Jam / Tingkat Kasus,98.64
METRIC-0752,Environmental,Konsumsi Air Bersih (Sub-752),Ton CO2e / M3 / MWh,90.9
METRIC-0753,Social,Pelatihan Karyawan (Jam) (Sub-753),Persentase / Jam / Tingkat Kasus,86.18
METRIC-0754,Governance,Transparansi Pajak (Sub-754),Skor Indeks / Persentase / Sertifikasi,85.32
METRIC-0755,Environmental,Konsumsi Air Bersih (Sub-755),Ton CO2e / M3 / MWh,74.78
METRIC-0756,Environmental,Pengelolaan Limbah B3 (Sub-756),Ton CO2e / M3 / MWh,81.17
METRIC-0757,Governance,Transparansi Pajak (Sub-757),Skor Indeks / Persentase / Sertifikasi,90.18
METRIC-0758,Environmental,Emisi GRK Scope 1 (Sub-758),Ton CO2e / M3 / MWh,97.74
METRIC-0759,Social,Pelatihan Karyawan (Jam) (Sub-759),Persentase / Jam / Tingkat Kasus,94.49
METRIC-0760,Governance,Sertifikasi Anti-Korupsi (Sub-760),Skor Indeks / Persentase / Sertifikasi,79.01
METRIC-0761,Governance,Independensi Dewan Komisaris (Sub-761),Skor Indeks / Persentase / Sertifikasi,83.02
METRIC-0762,Environmental,Pengelolaan Limbah B3 (Sub-762),Ton CO2e / M3 / MWh,72.49
METRIC-0763,Governance,Transparansi Pajak (Sub-763),Skor Indeks / Persentase / Sertifikasi,73.07
METRIC-0764,Environmental,Konsumsi Air Bersih (Sub-764),Ton CO2e / M3 / MWh,84.11
METRIC-0765,Environmental,Efisiensi Energi (Sub-765),Ton CO2e / M3 / MWh,85.91
METRIC-0766,Governance,Rasio Gaji Eksekutif (Sub-766),Skor Indeks / Persentase / Sertifikasi,77.92
METRIC-0767,Environmental,Pengelolaan Limbah B3 (Sub-767),Ton CO2e / M3 / MWh,89.28
METRIC-0768,Social,Hubungan Komunitas Lokal (Sub-768),Persentase / Jam / Tingkat Kasus,91.1
METRIC-0769,Social,Tingkat Kecelakaan Kerja (Sub-769),Persentase / Jam / Tingkat Kasus,78.97
METRIC-0770,Environmental,Pengelolaan Limbah B3 (Sub-770),Ton CO2e / M3 / MWh,92.75
METRIC-0771,Social,Rasio Kesetaraan Gender (Sub-771),Persentase / Jam / Tingkat Kasus,76.17
METRIC-0772,Environmental,Intensitas Karbon (Sub-772),Ton CO2e / M3 / MWh,86.33
METRIC-0773,Social,Hubungan Komunitas Lokal (Sub-773),Persentase / Jam / Tingkat Kasus,94.13
METRIC-0774,Governance,Audit Keamanan Siber (Sub-774),Skor Indeks / Persentase / Sertifikasi,86.11
METRIC-0775,Environmental,Konsumsi Air Bersih (Sub-775),Ton CO2e / M3 / MWh,97.24
METRIC-0776,Environmental,Pengelolaan Limbah B3 (Sub-776),Ton CO2e / M3 / MWh,71.76
METRIC-0777,Environmental,Efisiensi Energi (Sub-777),Ton CO2e / M3 / MWh,87.65
METRIC-0778,Environmental,Konsumsi Air Bersih (Sub-778),Ton CO2e / M3 / MWh,86.85
METRIC-0779,Environmental,Emisi GRK Scope 1 (Sub-779),Ton CO2e / M3 / MWh,89.81
METRIC-0780,Environmental,Emisi GRK Scope 1 (Sub-780),Ton CO2e / M3 / MWh,95.0
METRIC-0781,Governance,Audit Keamanan Siber (Sub-781),Skor Indeks / Persentase / Sertifikasi,91.78
METRIC-0782,Governance,Audit Keamanan Siber (Sub-782),Skor Indeks / Persentase / Sertifikasi,93.71
METRIC-0783,Social,Pelatihan Karyawan (Jam) (Sub-783),Persentase / Jam / Tingkat Kasus,78.66
METRIC-0784,Environmental,Efisiensi Energi (Sub-784),Ton CO2e / M3 / MWh,81.62
METRIC-0785,Social,Rasio Kesetaraan Gender (Sub-785),Persentase / Jam / Tingkat Kasus,88.8
METRIC-0786,Social,Hubungan Komunitas Lokal (Sub-786),Persentase / Jam / Tingkat Kasus,86.6
METRIC-0787,Governance,Independensi Dewan Komisaris (Sub-787),Skor Indeks / Persentase / Sertifikasi,98.83
METRIC-0788,Social,Rasio Kesetaraan Gender (Sub-788),Persentase / Jam / Tingkat Kasus,75.61
METRIC-0789,Governance,Sertifikasi Anti-Korupsi (Sub-789),Skor Indeks / Persentase / Sertifikasi,80.54
METRIC-0790,Social,Turnover Karyawan (Sub-790),Persentase / Jam / Tingkat Kasus,87.18
METRIC-0791,Environmental,Efisiensi Energi (Sub-791),Ton CO2e / M3 / MWh,96.04
METRIC-0792,Social,Pelatihan Karyawan (Jam) (Sub-792),Persentase / Jam / Tingkat Kasus,97.88
METRIC-0793,Governance,Sertifikasi Anti-Korupsi (Sub-793),Skor Indeks / Persentase / Sertifikasi,80.08
METRIC-0794,Governance,Independensi Dewan Komisaris (Sub-794),Skor Indeks / Persentase / Sertifikasi,72.01
METRIC-0795,Governance,Rasio Gaji Eksekutif (Sub-795),Skor Indeks / Persentase / Sertifikasi,82.65
METRIC-0796,Social,Rasio Kesetaraan Gender (Sub-796),Persentase / Jam / Tingkat Kasus,81.83
METRIC-0797,Social,Tingkat Kecelakaan Kerja (Sub-797),Persentase / Jam / Tingkat Kasus,99.59
METRIC-0798,Governance,Sertifikasi Anti-Korupsi (Sub-798),Skor Indeks / Persentase / Sertifikasi,82.93
METRIC-0799,Environmental,Efisiensi Energi (Sub-799),Ton CO2e / M3 / MWh,79.17
METRIC-0800,Environmental,Konsumsi Air Bersih (Sub-800),Ton CO2e / M3 / MWh,80.96
METRIC-0801,Social,Pelatihan Karyawan (Jam) (Sub-801),Persentase / Jam / Tingkat Kasus,81.91
METRIC-0802,Social,Pelatihan Karyawan (Jam) (Sub-802),Persentase / Jam / Tingkat Kasus,94.65
METRIC-0803,Governance,Sertifikasi Anti-Korupsi (Sub-803),Skor Indeks / Persentase / Sertifikasi,72.43
METRIC-0804,Social,Tingkat Kecelakaan Kerja (Sub-804),Persentase / Jam / Tingkat Kasus,79.5
METRIC-0805,Social,Rasio Kesetaraan Gender (Sub-805),Persentase / Jam / Tingkat Kasus,98.99
METRIC-0806,Governance,Sertifikasi Anti-Korupsi (Sub-806),Skor Indeks / Persentase / Sertifikasi,74.59
METRIC-0807,Governance,Rasio Gaji Eksekutif (Sub-807),Skor Indeks / Persentase / Sertifikasi,92.28
METRIC-0808,Social,Tingkat Kecelakaan Kerja (Sub-808),Persentase / Jam / Tingkat Kasus,80.69
METRIC-0809,Environmental,Intensitas Karbon (Sub-809),Ton CO2e / M3 / MWh,87.45
METRIC-0810,Social,Tingkat Kecelakaan Kerja (Sub-810),Persentase / Jam / Tingkat Kasus,72.99
METRIC-0811,Environmental,Emisi GRK Scope 1 (Sub-811),Ton CO2e / M3 / MWh,79.19
METRIC-0812,Environmental,Konsumsi Air Bersih (Sub-812),Ton CO2e / M3 / MWh,85.03
METRIC-0813,Environmental,Intensitas Karbon (Sub-813),Ton CO2e / M3 / MWh,76.95
METRIC-0814,Governance,Rasio Gaji Eksekutif (Sub-814),Skor Indeks / Persentase / Sertifikasi,86.26
METRIC-0815,Governance,Audit Keamanan Siber (Sub-815),Skor Indeks / Persentase / Sertifikasi,76.59
METRIC-0816,Governance,Transparansi Pajak (Sub-816),Skor Indeks / Persentase / Sertifikasi,89.5
METRIC-0817,Social,Turnover Karyawan (Sub-817),Persentase / Jam / Tingkat Kasus,97.13
METRIC-0818,Governance,Transparansi Pajak (Sub-818),Skor Indeks / Persentase / Sertifikasi,72.56
METRIC-0819,Governance,Rasio Gaji Eksekutif (Sub-819),Skor Indeks / Persentase / Sertifikasi,76.5
METRIC-0820,Social,Hubungan Komunitas Lokal (Sub-820),Persentase / Jam / Tingkat Kasus,95.33
METRIC-0821,Social,Rasio Kesetaraan Gender (Sub-821),Persentase / Jam / Tingkat Kasus,88.95
METRIC-0822,Environmental,Pengelolaan Limbah B3 (Sub-822),Ton CO2e / M3 / MWh,72.36
METRIC-0823,Social,Pelatihan Karyawan (Jam) (Sub-823),Persentase / Jam / Tingkat Kasus,84.59
METRIC-0824,Social,Turnover Karyawan (Sub-824),Persentase / Jam / Tingkat Kasus,76.29
METRIC-0825,Governance,Audit Keamanan Siber (Sub-825),Skor Indeks / Persentase / Sertifikasi,75.97
METRIC-0826,Environmental,Konsumsi Air Bersih (Sub-826),Ton CO2e / M3 / MWh,98.22
METRIC-0827,Environmental,Pengelolaan Limbah B3 (Sub-827),Ton CO2e / M3 / MWh,92.85
METRIC-0828,Social,Rasio Kesetaraan Gender (Sub-828),Persentase / Jam / Tingkat Kasus,90.89
METRIC-0829,Governance,Independensi Dewan Komisaris (Sub-829),Skor Indeks / Persentase / Sertifikasi,77.17
METRIC-0830,Governance,Independensi Dewan Komisaris (Sub-830),Skor Indeks / Persentase / Sertifikasi,73.56
METRIC-0831,Governance,Sertifikasi Anti-Korupsi (Sub-831),Skor Indeks / Persentase / Sertifikasi,96.12
METRIC-0832,Governance,Rasio Gaji Eksekutif (Sub-832),Skor Indeks / Persentase / Sertifikasi,70.18
METRIC-0833,Social,Rasio Kesetaraan Gender (Sub-833),Persentase / Jam / Tingkat Kasus,81.64
METRIC-0834,Governance,Sertifikasi Anti-Korupsi (Sub-834),Skor Indeks / Persentase / Sertifikasi,78.33
METRIC-0835,Environmental,Intensitas Karbon (Sub-835),Ton CO2e / M3 / MWh,87.11
METRIC-0836,Environmental,Konsumsi Air Bersih (Sub-836),Ton CO2e / M3 / MWh,77.52
METRIC-0837,Social,Hubungan Komunitas Lokal (Sub-837),Persentase / Jam / Tingkat Kasus,79.34
METRIC-0838,Governance,Rasio Gaji Eksekutif (Sub-838),Skor Indeks / Persentase / Sertifikasi,95.5
METRIC-0839,Governance,Audit Keamanan Siber (Sub-839),Skor Indeks / Persentase / Sertifikasi,88.1
METRIC-0840,Governance,Rasio Gaji Eksekutif (Sub-840),Skor Indeks / Persentase / Sertifikasi,74.37
METRIC-0841,Governance,Rasio Gaji Eksekutif (Sub-841),Skor Indeks / Persentase / Sertifikasi,91.79
METRIC-0842,Social,Hubungan Komunitas Lokal (Sub-842),Persentase / Jam / Tingkat Kasus,76.22
METRIC-0843,Governance,Rasio Gaji Eksekutif (Sub-843),Skor Indeks / Persentase / Sertifikasi,82.99
METRIC-0844,Social,Pelatihan Karyawan (Jam) (Sub-844),Persentase / Jam / Tingkat Kasus,89.4
METRIC-0845,Governance,Sertifikasi Anti-Korupsi (Sub-845),Skor Indeks / Persentase / Sertifikasi,78.16
METRIC-0846,Governance,Transparansi Pajak (Sub-846),Skor Indeks / Persentase / Sertifikasi,81.52
METRIC-0847,Environmental,Pengelolaan Limbah B3 (Sub-847),Ton CO2e / M3 / MWh,92.02
METRIC-0848,Social,Turnover Karyawan (Sub-848),Persentase / Jam / Tingkat Kasus,98.14
METRIC-0849,Environmental,Emisi GRK Scope 1 (Sub-849),Ton CO2e / M3 / MWh,85.88
METRIC-0850,Social,Tingkat Kecelakaan Kerja (Sub-850),Persentase / Jam / Tingkat Kasus,70.3
METRIC-0851,Governance,Independensi Dewan Komisaris (Sub-851),Skor Indeks / Persentase / Sertifikasi,80.15
METRIC-0852,Governance,Independensi Dewan Komisaris (Sub-852),Skor Indeks / Persentase / Sertifikasi,81.96
METRIC-0853,Social,Hubungan Komunitas Lokal (Sub-853),Persentase / Jam / Tingkat Kasus,80.18
METRIC-0854,Environmental,Intensitas Karbon (Sub-854),Ton CO2e / M3 / MWh,83.09
METRIC-0855,Social,Rasio Kesetaraan Gender (Sub-855),Persentase / Jam / Tingkat Kasus,88.98
METRIC-0856,Social,Rasio Kesetaraan Gender (Sub-856),Persentase / Jam / Tingkat Kasus,73.63
METRIC-0857,Governance,Transparansi Pajak (Sub-857),Skor Indeks / Persentase / Sertifikasi,78.18
METRIC-0858,Environmental,Intensitas Karbon (Sub-858),Ton CO2e / M3 / MWh,85.23
METRIC-0859,Social,Turnover Karyawan (Sub-859),Persentase / Jam / Tingkat Kasus,79.47
METRIC-0860,Environmental,Emisi GRK Scope 1 (Sub-860),Ton CO2e / M3 / MWh,99.73
METRIC-0861,Environmental,Intensitas Karbon (Sub-861),Ton CO2e / M3 / MWh,82.94
METRIC-0862,Social,Tingkat Kecelakaan Kerja (Sub-862),Persentase / Jam / Tingkat Kasus,96.09
METRIC-0863,Environmental,Konsumsi Air Bersih (Sub-863),Ton CO2e / M3 / MWh,96.9
METRIC-0864,Governance,Transparansi Pajak (Sub-864),Skor Indeks / Persentase / Sertifikasi,95.08
METRIC-0865,Governance,Rasio Gaji Eksekutif (Sub-865),Skor Indeks / Persentase / Sertifikasi,71.41
METRIC-0866,Governance,Independensi Dewan Komisaris (Sub-866),Skor Indeks / Persentase / Sertifikasi,98.43
METRIC-0867,Governance,Audit Keamanan Siber (Sub-867),Skor Indeks / Persentase / Sertifikasi,73.86
METRIC-0868,Environmental,Konsumsi Air Bersih (Sub-868),Ton CO2e / M3 / MWh,71.03
